city,name,country,tier,synthetic,population,mean_everyday,mean_emergency,gini_everyday,gini_emergency,p90_p50_ratio_emergency,spearman_rho,compounding_intensity,divergence_gap,compounding_pop_share_50,jaccard_high_50,compounding_pop_share_75,jaccard_high_75,gini_t_everyday,gini_t_emergency,pop_share_beyond_everyday_15,pop_share_beyond_everyday_30,pop_share_beyond_emergency_30,pop_share_beyond_emergency_45,pop_share_beyond_emergency_60,log10_population,slope_density_everyday,slope_ses_everyday,slope_density_emergency,slope_ses_emergency,slope_ses_column
antwerpen,Antwerpen,BE,1,False,1219366.3916443712,0.288948498732068,0.1149127654818148,0.5232352832671998,0.4061157020942534,2.8723489466185645,0.2944599173474278,0.3657424625116418,-0.1171195811729464,0.3102669556144913,0.4521956816170148,0.1159659903248266,0.3033371176952099,0.6405535030830172,0.2541538635377804,0.3246656607881747,0.2385173834612957,0.0020663106006439,0.0002883419821369,0.0002880092420612,6.086134220762545,-0.6488917337612826,0.2375132106675915,-0.4660260800901258,0.2325595952368776,ses_census_employment_share
riga,Rīga,LV,1,False,1110302.713077391,0.3620507431720772,0.500082892912148,0.501738970705067,0.6819395340870698,7.796062581693326,0.5481394237777178,0.3940918397307786,0.1802005633820027,0.374740837364477,0.5978568565613003,0.1361065377019708,0.3743001573706583,0.6057584894283887,0.4208064082384237,0.4244078459478721,0.3336721403729377,0.1935967880584451,0.1028566711354982,0.071701060276054,6.045441401035255,-1.0422715025459728,-0.1958809412931537,-0.6857771613095541,-0.3220430444050987,ses_census_employment_share
bilbao,Bilbao,ES,1,False,1053443.6993315031,0.1603725097692081,0.1577404565188729,0.5701058090274849,0.4332142576941193,2.997849505281671,0.4199518767151569,0.3806733495883629,-0.1368915513333655,0.3238745832213372,0.4801738401310219,0.1239080957737495,0.3287868846504372,0.6584397918260898,0.2608251295184063,0.3132142045317692,0.1011620236477253,0.0316238514543471,0.0024425605270902,0.0011459889224797,6.022611329955481,-1.103649861422252,0.2035830701887829,-0.7186165920799066,-0.0432026107782313,ses_census_employment_share
lodz,Łódź,PL,1,False,1045885.6849187292,0.2550482847423372,0.2373664538118569,0.5336677565578534,0.4911756799291812,3.901867241597352,0.3329035040518853,0.3678898102936049,-0.0424920766286721,0.3100693848636942,0.4496044176954604,0.1253484585421845,0.3345166343784351,0.6484476959610321,0.3012587182823232,0.2438668966460702,0.1836112002493199,0.1128229510916596,0.0241829534941988,0.0019518683728324,6.0194842188313835,-1.1700565714747395,0.1950843599207287,-0.7759453881179577,0.027794741685277,ses_census_employment_share
goteborg,Göteborg,SE,1,False,1042719.686627752,0.424374155165532,0.3623872989277654,0.3448480261963759,0.4458087539107245,2.424844643028075,0.3204759278737006,0.36618546716184,0.1009607277143485,0.2985575531998845,0.4297271905150983,0.1332527214526045,0.3630176270022963,0.4556657909396305,0.2277622024205596,0.6984019936012898,0.4850755997875868,0.0943290642274336,0.0169843640027264,0.0153206056374435,6.018167573131482,-1.018015186653586,0.3237272336859707,-0.324993831865036,0.1705425981829975,ses_census_employment_share
vilnius,Vilnius,LT,1,False,1010376.3769686642,0.4625139310238529,0.8012987324348999,0.4104001834524109,0.7387505952285147,20.40730469043274,0.5501193723109523,0.3987331108662219,0.3283504117761038,0.3578583860645686,0.5592271326812915,0.1245993382530923,0.3314579362708435,0.4956894484375161,0.5007386149279661,0.6455276007813943,0.518077575917019,0.2636323108465812,0.1705770493464685,0.1420489277503817,6.004483183675453,-1.0517210993224446,-0.4563431088708581,-0.3639012954093861,-0.4176376508789153,ses_census_employment_share
palermo,Palermo,IT,1,False,1006055.4456928088,0.3174167226554843,0.54124217972544,0.382768727514566,0.292147981450761,1.8508817058335525,0.269546136494638,0.3583466183696124,-0.0906207460638049,0.289547847707659,0.4105990253186366,0.11672383842509,0.3042233040819267,0.5083914609792828,0.1522886359017995,0.5267260638677341,0.3353999275656585,0.2107408618983956,0.030270562293446,0.029437934190661,6.002621916201895,-1.2160316993162,-0.4149535041035793,-0.5977514865456852,-0.1577369058017147,ses_census_employment_share
alicante,Alicante,ES,1,False,996867.21031295,0.3106199581790364,0.2673852378651901,0.5298849527803308,0.2769185500043507,1.7926462129892675,0.1467806702112097,0.3487050656356936,-0.25296640277598,0.2689813253109517,0.3678961588273071,0.0862751780865313,0.2081260587881878,0.6248978285073503,0.1655519306076009,0.4334315026165834,0.2906467790371907,0.0496786695235717,0.0015101650351801,0.0003299568741971,5.998637311100842,-0.9953195665495989,-0.243649284768322,-0.2899684003798884,-0.0829392759692345,ses_census_employment_share
wroclaw,Wrocław,PL,1,False,939076.2060381044,0.1991486938346789,0.218363304003898,0.6088534677497276,0.3622615714980028,2.437323558544396,0.4085242240842972,0.3805169263728665,-0.2465918962517247,0.338853494818921,0.5125342070819019,0.1425891364623279,0.4003521696142985,0.6935506357426389,0.2290758834036151,0.2249379185418467,0.1685218341865863,0.0545104202373645,0.0013085427130447,0.0010317488920695,5.972700836695222,-1.1578135536179175,-0.177937111256373,-0.68700225006556,-0.130684915868517,ses_census_employment_share
bratislava,Bratislava,SK,1,False,931612.5385711532,0.2959847152773682,0.2646426293597512,0.5217654074032542,0.4299321085108966,3.0554851809671546,0.3924542903294112,0.373818797403325,-0.0918332988923575,0.3357798157446549,0.5039417359309627,0.0982538848546604,0.2451456918923558,0.6287709892196275,0.2612014210225529,0.3650600536445891,0.2762598960253499,0.1250733442210484,0.0150364258153067,0.0013574545336163,5.969235325070477,-1.0996018151575244,-0.3833493195580898,-0.5577090250744218,-0.2198752747225834,ses_census_employment_share
ljubljana,Ljubljana,SI,1,False,919302.5028696532,0.4488566843655054,0.7369840242888229,0.3875324700258204,0.4824183363968878,7.635811873001463,0.4773920153199234,0.3842163119122208,0.0948858663710674,0.3387729293371467,0.5141383908327527,0.1454473660841958,0.4101322083626779,0.4801282341355659,0.2668647502944101,0.6804661095623467,0.4804468247560302,0.2870036939373145,0.1269035144711076,0.1102196532735908,5.963458442517447,-1.2072345476934103,0.33069821043629,-0.6827035700918309,0.1149867279277574,ses_census_employment_share
