city,name,country,regime,service,n_facilities,pop_median_time_min,pop_mean_time_min,pop_share_beyond_15min,pop_share_beyond_30min,pop_service_deprived_share,unreachable_pop_share
palermo,Palermo,IT,everyday,pharmacy,205.0,3.5,5.18067033450334,0.1466953391741628,0.0951052899910603,0.0950734353893425,2.353952749810184e-06
palma_de_mallorca,Palma de Mallorca,ES,everyday,pharmacy,228.0,2.3124579045791545,3.770047339480691,0.1185915576584909,0.1087888237770732,0.1086647673577266,0.0001240564193465
paris,Paris,FR,everyday,pharmacy,3479.0,2.533559362953637,3.234612174441647,0.0675911560502101,0.0638584333088261,0.0635776129320961,0.00028082037673
porto,Porto,PT,everyday,pharmacy,333.0,5.76729269026064,6.542703317469928,0.1102923923008562,0.0713367497543487,0.0712376408606182,9.78175199907707e-05
praha,Praha,CZ,everyday,pharmacy,501.0,4.849821811249688,5.674796163571647,0.1953441920370766,0.1748973270477315,0.1745337691040314,0.0003501534172989
riga,Rīga,LV,everyday,pharmacy,437.0,3.7562716012667474,4.818909271994837,0.2581303405468995,0.2400252121034238,0.2299017858116404,0.0101002097830844
roma,Roma,IT,everyday,pharmacy,898.0,3.462141963779244,4.44645499261155,0.1291269472596616,0.1132479008622958,0.1129755002640284,0.0002464793215012
sittard_geleen,Sittard-Geleen,NL,everyday,pharmacy,16.0,11.734601189963804,13.717125895531057,0.5334363537187928,0.3101864334544623,0.263780935933979,5.650420199129408e-05
sofia,Sofia,BG,everyday,pharmacy,588.0,3.066012914092238,4.795973504005651,0.2538593806231988,0.2099081270415665,0.2057862387901281,0.0040638430395907
stavanger,Stavanger,NO,everyday,pharmacy,67.0,8.078815658107867,8.813052645996887,0.2762955296990431,0.1675158986816648,0.1651227863114795,0.0023275570920877
stockholm,Stockholm,SE,everyday,pharmacy,253.0,6.23636517446354,6.812149768191171,0.2124127194255167,0.1856052595555268,0.1832851290685252,0.0022773477825569
szeged,Szeged,HU,everyday,pharmacy,70.0,4.986645836130337,5.626190727297584,0.1636801522031208,0.1451325199767764,0.1450530295239852,7.912695031528352e-05
talavera_de_la_reina,Talavera de la Reina,ES,everyday,pharmacy,31.0,1.217999048327823,3.7636529039166096,0.3500768242394739,0.3065550268597932,0.3046936101332142,0.0002669232060958
tallinn,Tallinn,EE,everyday,pharmacy,220.0,5.051468940915193,6.204454117353018,0.2182827597692012,0.178029264061379,0.1674257289800032,0.0096514305155998
toulon,Toulon,FR,everyday,pharmacy,161.0,6.17165125242609,7.00544010958377,0.1899595706879159,0.140099730905624,0.1378558286656957,0.0007117881025811
turku,Turku,FI,everyday,pharmacy,52.0,8.0,8.246851589357862,0.3668232746989603,0.3387575260868326,0.3229760562304282,0.0103862042662311
vasteras,Västerås,SE,everyday,pharmacy,20.0,10.295731973403315,10.432260086219877,0.5174567008757243,0.3783544380478583,0.3774762817466519,0.0001051565213188
vicenza,Vicenza,IT,everyday,pharmacy,66.0,5.0,6.078247568247451,0.1362346835291533,0.1026706161958386,0.1023019760480696,0.0
vilnius,Vilnius,LT,everyday,pharmacy,246.0,5.0955150691329365,6.004468973572866,0.3753914190716764,0.351880898310482,0.3110036821884887,0.0408371602762756
warszawa,Warszawa,PL,everyday,pharmacy,1097.0,3.4827925572986347,4.392580644812796,0.1461806249033458,0.1347169539686654,0.130689475569957,0.0039568237154788
wroclaw,Wrocław,PL,everyday,pharmacy,329.0,3.32959542858812,4.188612679080236,0.1443507069412041,0.1363159717625325,0.1363109393419942,5.032420538371682e-06
zagreb,Zagreb,HR,everyday,pharmacy,311.0,4.016809332922606,5.262603218901844,0.282861119214147,0.2641972789917307,0.2636904619153165,0.0004933468398991
zilina,Žilina,SK,everyday,pharmacy,52.0,4.388103889983373,5.753106181614777,0.444094703189142,0.4147694595670512,0.4146934381502654,7.047339346332587e-05
aalborg,Aalborg,DK,everyday,school_primary,153.0,7.5,7.979390185651733,0.2401184597812562,0.1884682687765051,0.1830247927053882,0.0048790226454677
aarhus,Aarhus,DK,everyday,school_primary,227.0,5.3760648219936025,5.89054932900126,0.1163339288665366,0.1065555574007213,0.1064566920368299,9.747682019448447e-05
alicante,Alicante,ES,everyday,school_primary,362.0,3.15352388408682,4.658589007114154,0.1906107582067011,0.1655875449272282,0.165240738690044,0.0
amersfoort,Amersfoort,NL,everyday,school_primary,161.0,3.197684621993003,3.905000231865217,0.0308541527430002,0.0202596201417635,0.0200759181257313,3.576247142572889e-06
amsterdam,Amsterdam,NL,everyday,school_primary,1434.0,3.581413389650838,4.482438331775408,0.0859557833049458,0.0646654164114249,0.0643450973385529,0.0001947696890257
antwerpen,Antwerpen,BE,everyday,school_primary,572.0,4.538745292648574,5.5176493117731695,0.1604250145755806,0.1294732681199426,0.1294444965508168,0.0
apeldoorn,Apeldoorn,NL,everyday,school_primary,158.0,4.423032887548463,5.466881095477191,0.0908987539060392,0.0590244148205888,0.0588626708354101,5.107407344433736e-05
arezzo,Arezzo,IT,everyday,school_primary,185.0,3.646623470633418,4.360618208424035,0.0876720156050742,0.0727505141701077,0.0727149858620864,0.0
athina,Athina,EL,everyday,school_primary,1628.0,1.8001586005145624,2.419766896589372,0.0275069463068088,0.0254817277972522,0.0251348209705481,0.0003269286847008
barcelona,Barcelona,ES,everyday,school_primary,1886.0,1.4666862944584518,2.4998225727812367,0.0556041664968487,0.0480073238802297,0.0441896117727838,0.0038177121074459
berlin,Berlin,DE,everyday,school_primary,1597.0,4.924757357132572,5.523242950816644,0.0667222825387741,0.0503404234792781,0.0502485403231613,6.579825546634008e-05
bilbao,Bilbao,ES,everyday,school_primary,394.0,2.247933582809678,3.246720920718336,0.0596787082019635,0.0495310186609997,0.0493934395096775,3.761587329364424e-06
braila,Brăila,RO,everyday,school_primary,48.0,4.121582207618339,5.193638377552442,0.2407882486774535,0.2173702021236408,0.2166435948424125,0.0005981650437556
bratislava,Bratislava,SK,everyday,school_primary,462.0,4.408735218513898,5.591655550074671,0.1634721428042698,0.1252768519208318,0.1250191811815647,8.834990078709413e-05
brno,Brno,CZ,everyday,school_primary,333.0,3.956314574683384,4.822032080531419,0.1436971247796321,0.1321852917961941,0.1321852917961941,0.0
bruxelles,Bruxelles,BE,everyday,school_primary,2043.0,2.816988375284996,3.691078660225744,0.0363302374582186,0.0322562265895943,0.0320274656675012,9.721616120157184e-05
bucuresti,București,RO,everyday,school_primary,665.0,4.051846031639787,4.887514977050152,0.2119439140153289,0.1994612620705732,0.1852794251413806,0.0138212152767958
budapest,Budapest,HU,everyday,school_primary,995.0,4.492150786233566,5.148747145506576,0.0755513695150593,0.064626079076234,0.0641139049521354,0.0004442526655318
caserta,Caserta,IT,everyday,school_primary,85.0,5.284352323271119,6.508310454865999,0.1149908969571978,0.0415196151664599,0.0415071538224687,0.0
chemnitz,Chemnitz,DE,everyday,school_primary,214.0,4.66526793416187,5.335167980060048,0.0842518424903949,0.0789344142608616,0.0789344142608616,0.0
cosenza,Cosenza,IT,everyday,school_primary,76.0,3.8531858767404814,5.314840654107515,0.3994867926953601,0.3784509805418115,0.3772184870106009,0.0007212551675557
goteborg,Göteborg,SE,everyday,school_primary,482.0,4.8961969781142285,5.719808761492827,0.1256613469686255,0.0988869050777583,0.0958903669667942,0.0022224258033794
grenoble,Grenoble,FR,everyday,school_primary,856.0,2.1447711993959024,3.0428894945850367,0.037845800008389,0.0323753881470356,0.0320729460441391,0.0002906792434966
hamburg,Hamburg,DE,everyday,school_primary,1119.0,6.025656640490167,6.750623448940128,0.1529567041204422,0.1153867287453741,0.1123671014647031,0.0017298342956215
helsingborg,Helsingborg,SE,everyday,school_primary,129.0,4.0,4.936560518005168,0.1103831532338244,0.095500710102417,0.095500710102417,0.0
helsinki,Helsinki,FI,everyday,school_primary,788.0,5.223115842091096,5.91272057268679,0.1189058040393083,0.0962280439181169,0.0931350035211628,0.0026568861195763
jaen,Jaén,ES,everyday,school_primary,120.0,2.4411479566046514,3.613530414419209,0.1684552407049894,0.1442048518934151,0.1425029952894458,0.0005149201470868
katowice,Katowice,PL,everyday,school_primary,539.0,4.624936247680029,5.3211738992545525,0.0388969106586347,0.018118170536886,0.0177859635398228,0.0002534428821402
kobenhavn,København,DK,everyday,school_primary,737.0,4.368511104339782,4.861024167789059,0.0563387261548462,0.0517105471357405,0.0510780664263236,9.409472397769646e-05
koeln,Köln,DE,everyday,school_primary,871.0,5.204426775495748,6.1159100950826,0.0850708989786931,0.0438499254867641,0.0432548422747967,0.0002092671147314
krakow,Kraków,PL,everyday,school_primary,649.0,5.299586882166506,5.98396360021022,0.1175693297055388,0.0976518599026215,0.0974702892295736,4.00606884883627e-07
lahti,Lahti,FI,everyday,school_primary,79.0,7.2262579877702,7.522092073748237,0.2530601576365153,0.2226002390552116,0.2217025869995651,0.0008976520556464
