city,axis,target,baseline,min,max,width,n_variants
madrid,threshold,share_HH,0.3161444230833798,0.1268314386043689,0.4134335661470685,0.2866021275426996,4
milano,curvature,gini_everyday,0.3991676881886109,0.3018898533525678,0.5878039690118833,0.28591411565931546,11
milano,curvature,gini_emergency,0.3958791310287513,0.3203436412172368,0.4695040965372261,0.14916045531998928,11
milano,curvature,divergence_gap,-0.0032885571598595,-0.1919248379831319,0.0939892776761834,0.2859141156593153,11
milano,curvature,share_HH,0.319309599748416,0.308303150889283,0.3249490680525709,0.016645917163287893,11
milano,form_swap,gini_everyday,0.3991676881886109,0.3420380652758882,0.3991676881886109,0.05712962291272272,2
milano,form_swap,gini_emergency,0.3958791310287513,0.284383416140303,0.3958791310287513,0.11149571488844828,2
milano,form_swap,divergence_gap,-0.0032885571598595,-0.1147842720483078,0.053841065752863,0.16862533780117078,2
milano,form_swap,share_HH,0.319309599748416,0.3180136689471222,0.3305227684978174,0.012509099550695235,2
milano,threshold,share_HH,0.319309599748416,0.1273317183299214,0.4084769100738232,0.2811451917439018,4
munchen,curvature,gini_everyday,0.6156624124124535,0.4884685495494965,0.8198772053770691,0.3314086558275726,11
munchen,curvature,gini_emergency,0.4491581381159913,0.352028516746332,0.5521642054280171,0.20013568868168513,11
munchen,curvature,divergence_gap,-0.1665042742964621,-0.3707190672610778,-0.0393104114335052,0.33140865582757256,11
munchen,curvature,share_HH,0.3040515859925754,0.3016306525338301,0.3055691965075552,0.003938543973725117,11
munchen,form_swap,gini_everyday,0.6156624124124535,0.5010258329085565,0.6156624124124535,0.11463657950389694,2
munchen,form_swap,gini_emergency,0.4491581381159913,0.3291304591137282,0.4491581381159913,0.12002767900226313,2
munchen,form_swap,divergence_gap,-0.1665042742964621,-0.2865319532987253,-0.0518676947925652,0.23466425850616007,2
munchen,form_swap,share_HH,0.3040515859925754,0.3060021351543127,0.306580223250359,0.0005780880960463142,2
munchen,threshold,share_HH,0.3040515859925754,0.1247172143546965,0.4057652777612035,0.281048063406507,4
napoli,curvature,gini_everyday,0.3049196110374195,0.2569914365682213,0.3887819015199467,0.13179046495172536,11
napoli,curvature,gini_emergency,0.3855643545401305,0.3060220723750093,0.4680946278938509,0.16207255551884164,11
napoli,curvature,divergence_gap,0.080644743502711,-0.0032175469798161,0.1631750168564314,0.1663925638362475,11
napoli,curvature,share_HH,0.2673808820984895,0.2627558514504345,0.2767698984119328,0.014014046961498272,11
napoli,form_swap,gini_everyday,0.3049196110374195,0.2871039579415351,0.3049196110374195,0.0178156530958844,2
napoli,form_swap,gini_emergency,0.3855643545401305,0.2851469932351481,0.3855643545401305,0.10041736130498241,2
napoli,form_swap,divergence_gap,0.080644743502711,-0.0197726178022713,0.0984603965985954,0.1182330144008667,2
napoli,form_swap,share_HH,0.2673808820984895,0.2722229167889751,0.2795244397234409,0.007301522934465787,2
napoli,threshold,share_HH,0.2673808820984895,0.1053623499377206,0.3642303681327857,0.2588680181950651,4
norrkoping,curvature,gini_everyday,0.4224852344224397,0.3388763874311549,0.5252277373729546,0.1863513499417997,11
norrkoping,curvature,gini_emergency,0.5599740180499065,0.4543321126780568,0.6540480869239237,0.1997159742458669,11
norrkoping,curvature,divergence_gap,0.1374887836274668,0.031846878255617,0.2315628525014839,0.1997159742458669,11
norrkoping,curvature,share_HH,0.3536092912233153,0.3448373615028564,0.3630377752015803,0.01820041369872394,11
norrkoping,form_swap,gini_everyday,0.4224852344224397,0.4154382010932936,0.4224852344224397,0.00704703332914608,2
norrkoping,form_swap,gini_emergency,0.5599740180499065,0.4685379223318247,0.5599740180499065,0.09143609571808187,2
norrkoping,form_swap,divergence_gap,0.1374887836274668,0.0460526879093849,0.1445358169566129,0.098483129047228,2
norrkoping,form_swap,share_HH,0.3536092912233153,0.3536092912233153,0.3710849527042993,0.017475661480984006,2
norrkoping,threshold,share_HH,0.3536092912233153,0.134989662540904,0.4488020527783208,0.3138123902374168,4
oslo,curvature,gini_everyday,0.5545663541045928,0.4273735989422222,0.7772424356715655,0.34986883672934327,11
oslo,curvature,gini_emergency,0.4668384591323511,0.3727459188378714,0.5575440743352124,0.18479815549734097,11
oslo,curvature,divergence_gap,-0.0877278949722416,-0.3104039765392143,0.0394648601901289,0.3498688367293432,11
oslo,curvature,share_HH,0.2983913664842278,0.2979395054112223,0.2990859459538192,0.0011464405425968827,11
oslo,form_swap,gini_everyday,0.5545663541045928,0.4621030315297481,0.5545663541045928,0.09246332257484469,2
oslo,form_swap,gini_emergency,0.4668384591323511,0.3951721882897354,0.4668384591323511,0.07166627084261573,2
oslo,form_swap,divergence_gap,-0.0877278949722416,-0.1593941658148573,0.004735427602603,0.1641295934174603,2
oslo,form_swap,share_HH,0.2983913664842278,0.2987005502399936,0.3009250362661649,0.002224486026171313,2
oslo,threshold,share_HH,0.2983913664842278,0.1389354499370543,0.4079282054502969,0.2689927555132426,4
palermo,curvature,gini_everyday,0.382768727514566,0.3115735060817027,0.4964545094534,0.18488100337169727,11
palermo,curvature,gini_emergency,0.292147981450761,0.2154924515937356,0.3805018705780842,0.16500941898434862,11
palermo,curvature,divergence_gap,-0.0906207460638049,-0.204306528002639,-0.0022668569364817,0.20203967106615728,11
palermo,curvature,share_HH,0.289547847707659,0.2790482912981095,0.301921642230985,0.022873350932875514,11
palermo,form_swap,gini_everyday,0.382768727514566,0.3747097855616365,0.382768727514566,0.0080589419529295,2
palermo,form_swap,gini_emergency,0.292147981450761,0.292147981450761,0.3129213358340615,0.020773354383300524,2
palermo,form_swap,divergence_gap,-0.0906207460638049,-0.0825618041108755,-0.0698473916805044,0.012714412430371108,2
palermo,form_swap,share_HH,0.289547847707659,0.2915379320190266,0.2990397789051451,0.007501846886118491,2
palermo,threshold,share_HH,0.289547847707659,0.11672383842509,0.3791624359383999,0.2624385975133099,4
palma_de_mallorca,curvature,gini_everyday,0.5037366132919836,0.4290259862948122,0.6126400451875252,0.18361405889271304,11
palma_de_mallorca,curvature,gini_emergency,0.45427709168365,0.3606756838836088,0.5426950162534722,0.18201933236986334,11
palma_de_mallorca,curvature,divergence_gap,-0.0494595216083335,-0.1583629535038752,0.0389584029614885,0.1973213564653637,11
palma_de_mallorca,curvature,share_HH,0.2896456115795737,0.2748555790120474,0.2974097840169042,0.02255420500485683,11
palma_de_mallorca,form_swap,gini_everyday,0.5037366132919836,0.4761330002447261,0.5037366132919836,0.027603613047257503,2
palma_de_mallorca,form_swap,gini_emergency,0.45427709168365,0.346512712739314,0.45427709168365,0.10776437894433599,2
palma_de_mallorca,form_swap,divergence_gap,-0.0494595216083335,-0.1572239005526696,-0.0218559085610761,0.1353679919915935,2
palma_de_mallorca,form_swap,share_HH,0.2896456115795737,0.2895394174226172,0.3024658524305367,0.012926435007919512,2
palma_de_mallorca,threshold,share_HH,0.2896456115795737,0.1050195412636424,0.3561871096542657,0.2511675683906233,4
paris,curvature,gini_everyday,0.6244856988145447,0.4993425271714783,0.8278284081825926,0.3284858810111143,11
paris,curvature,gini_emergency,0.4970117534057789,0.398345799051528,0.5934963084634345,0.19515050941190648,11
paris,curvature,divergence_gap,-0.1274739454087658,-0.3308166547768137,-0.0023307737656994,0.3284858810111143,11
paris,curvature,share_HH,0.3336449916720923,0.3312475741302965,0.3337388421762859,0.0024912680459894254,11
paris,form_swap,gini_everyday,0.6244856988145447,0.5030479183962288,0.6244856988145447,0.12143778041831599,2
paris,form_swap,gini_emergency,0.4970117534057789,0.3686258463074843,0.4970117534057789,0.12838590709829462,2
paris,form_swap,divergence_gap,-0.1274739454087658,-0.2558598525070604,-0.0060361649904498,0.2498236875166106,2
paris,form_swap,share_HH,0.3336449916720923,0.3308236240545283,0.3316626795618704,0.0008390555073420902,2
paris,threshold,share_HH,0.3336449916720923,0.1491856493795908,0.4334370086551041,0.28425135927551326,4
porto,curvature,gini_everyday,0.2717311858827021,0.2212334360964936,0.3548550094903626,0.133621573393869,11
porto,curvature,gini_emergency,0.3953959372043242,0.3215803237989568,0.4651911733677088,0.14361084956875203,11
porto,curvature,divergence_gap,0.1236647513216221,0.0405409277139616,0.1934599874850067,0.15291905977104508,11
porto,curvature,share_HH,0.3213566097566864,0.3148024250103035,0.3257350694971149,0.010932644486811416,11
porto,form_swap,gini_everyday,0.2717311858827021,0.2561757939812587,0.2717311858827021,0.015555391901443394,2
porto,form_swap,gini_emergency,0.3953959372043242,0.2902456126126614,0.3953959372043242,0.10515032459166279,2
porto,form_swap,divergence_gap,0.1236647513216221,0.0185144267299593,0.1392201432230655,0.1207057164931062,2
porto,form_swap,share_HH,0.3213566097566864,0.3218428958640478,0.3265576441915986,0.004714748327550811,2
porto,threshold,share_HH,0.3213566097566864,0.1144076154515259,0.4383429758530965,0.3239353604015706,4
praha,curvature,gini_everyday,0.5146393100326966,0.4057708637173674,0.6794731800017363,0.27370231628436886,11
praha,curvature,gini_emergency,0.4753614592681046,0.3862337226080314,0.5580340357032829,0.1718003130952515,11
praha,curvature,divergence_gap,-0.039277850764592,-0.2041117207336317,0.0695905955507371,0.2737023162843688,11
praha,curvature,share_HH,0.3549223798667683,0.3360763000991879,0.357503850637247,0.021427550538059115,11
praha,form_swap,gini_everyday,0.5146393100326966,0.4665368509492145,0.5146393100326966,0.048102459083482096,2
praha,form_swap,gini_emergency,0.4753614592681046,0.3625408917702574,0.4753614592681046,0.11282056749784719,2
praha,form_swap,divergence_gap,-0.039277850764592,-0.1520984182624392,0.00882460831889,0.1609230265813292,2
praha,form_swap,share_HH,0.3549223798667683,0.3517812463633848,0.3588873740265293,0.007106127663144501,2
praha,threshold,share_HH,0.3549223798667683,0.1354738934987027,0.4301310814885877,0.294657187989885,4
riga,curvature,gini_everyday,0.501738970705067,0.3982586502764753,0.6425017849611819,0.24424313468470665,11
riga,curvature,gini_emergency,0.6819395340870698,0.5614548768552401,0.7717275519701841,0.21027267511494396,11
riga,curvature,divergence_gap,0.1802005633820027,0.0394377491258878,0.2836808838105945,0.24424313468470668,11
riga,curvature,share_HH,0.374740837364477,0.3585107461980339,0.3838931514484226,0.025382405250388707,11
riga,form_swap,gini_everyday,0.501738970705067,0.4692915313590559,0.501738970705067,0.03244743934601113,2
riga,form_swap,gini_emergency,0.6819395340870698,0.6697476234830992,0.6819395340870698,0.012191910603970513,2
riga,form_swap,divergence_gap,0.1802005633820027,0.1680086527780322,0.2126480027280138,0.04463934994998159,2
riga,form_swap,share_HH,0.374740837364477,0.3726939111570525,0.3866553242686611,0.01396141311160859,2
riga,threshold,share_HH,0.374740837364477,0.1361065377019708,0.4680158391271724,0.3319093014252016,4
roma,curvature,gini_everyday,0.423858531761009,0.3482359260470233,0.5311822337557739,0.1829463077087506,11
roma,curvature,gini_emergency,0.5032905641982975,0.4070465047388202,0.592727967829218,0.1856814630903978,11
roma,curvature,divergence_gap,0.0794320324372884,-0.0278916695574763,0.1688694360682089,0.1967611056256852,11
roma,curvature,share_HH,0.3412355804607956,0.328280585457293,0.3489483023490137,0.0206677168917207,11
